sequence,event_time,event_name,event_source,actor,source_ip,resource,outcome,error_code,severity,mitre_tactic,mitre_technique
1,2026-09-09T08:00:12Z,GetCallerIdentity,sts.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Success,,Informational,Not mapped,Not mapped
2,2026-09-09T08:01:43Z,ListUsers,iam.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Success,,Medium,Discovery,T1087.004 - Cloud Account
3,2026-09-09T08:02:10Z,ListBuckets,s3.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Success,,Medium,Discovery,T1619 - Cloud Storage Object Discovery
4,2026-09-09T08:03:25Z,GetAccountAuthorizationDetails,iam.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Success,,High,Discovery,T1087.004 - Cloud Account
5,2026-09-09T08:05:11Z,CreateUser,iam.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,userName=system-support-backup,Success,,Critical,Persistence,T1136.003 - Cloud Account
6,2026-09-09T08:06:02Z,CreateAccessKey,iam.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,userName=system-support-backup,Success,,Critical,Persistence,T1098.001 - Additional Cloud Credentials
7,2026-09-09T08:07:34Z,AttachUserPolicy,iam.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,userName=system-support-backup; policyArn=arn:aws:iam::aws:policy/AdministratorAccess,Success,,Critical,Privilege Escalation,T1098 - Account Manipulation
8,2026-09-09T08:09:18Z,StopLogging,cloudtrail.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Success,,Critical,Defense Evasion,T1562.008 - Disable Cloud Logs
9,2026-09-09T08:11:09Z,GetBucketEncryption,s3.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,bucketName=financial-transaction-archive,Success,,Medium,Discovery,T1619 - Cloud Storage Object Discovery
10,2026-09-09T08:12:47Z,ListObjects,s3.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,bucketName=financial-transaction-archive,Success,,High,Discovery,T1619 - Cloud Storage Object Discovery
11,2026-09-09T08:14:31Z,GetObject,s3.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,bucketName=financial-transaction-archive; key=2026/Q3/transaction-export.csv,Success,,Critical,Collection,T1530 - Data from Cloud Storage
12,2026-09-09T08:16:55Z,DeleteTrail,cloudtrail.amazonaws.com,arn:aws:iam::111122223333:user/backup-automation,198.51.100.24,Not specified,Failed,AccessDenied,Critical,Defense Evasion,T1562.008 - Disable Cloud Logs
